imagem_id,box_index,area_px,area_640_px
01.07.2022-10-37-14,0,1470,163.3
01.07.2022-10-37-14,1,528,58.7
01.07.2022-10-37-14,2,1224,136.0
01.07.2022-10-40-05,0,3010,334.4
01.07.2022-10-40-05,1,2016,224.0
01.07.2022-10-40-05,2,506,56.2
01.07.2022-10-42-41,0,6780,753.3
01.07.2022-10-42-41,1,4802,533.6
01.07.2022-10-42-41,2,1340,148.9
01.07.2022-10-46-06,0,11929,1325.4
01.07.2022-10-46-06,1,6215,690.6
01.07.2022-10-46-06,2,2064,229.3
01.07.2022-10-51-03,0,20758,2306.4
01.07.2022-10-51-42,0,7155,795.0
01.07.2022-10-51-42,1,19364,2151.6
01.07.2022-10-52-47,0,31980,3553.3
01.07.2022-10-52-47,1,21930,2436.7
01.07.2022-10-55-57,0,1584,176.0
04.05.2022-09-46-05,0,2074,230.4
04.05.2022-09-46-23,0,819,91.0
04.05.2022-09-46-48,0,999,111.0
04.05.2022-09-48-18,0,8944,993.8
04.05.2022-09-50-07,0,1917,213.0
04.05.2022-09-50-07,1,1633,181.4
04.05.2022-09-50-07,2,8228,914.2
04.05.2022-09-50-51,0,5076,564.0
04.05.2022-09-56-04,0,14440,1604.4
04.05.2022-09-56-04,1,1539,171.0
04.05.2022-10-05-42,0,4760,528.9
04.05.2022-10-05-42,1,3600,400.0
04.05.2022-10-05-42,2,5246,582.9
04.05.2022-10-05-42,3,5002,555.8
04.05.2022-10-19-10,0,817,90.8
04.05.2022-10-19-10,1,1274,141.6
04.05.2022-10-19-10,2,624,69.3
04.05.2022-10-19-10,3,1150,127.8
04.05.2022-10-19-10,4,1408,156.4
04.05.2022-10-19-10,5,980,108.9
04.05.2022-10-19-10,6,950,105.6
04.05.2022-10-19-10,7,1456,161.8
04.05.2022-10-19-10,8,1352,150.2
04.05.2022-10-19-10,9,966,107.3
04.05.2022-10-19-10,10,741,82.3
04.05.2022-10-19-10,11,1500,166.7
04.05.2022-10-19-10,12,2541,282.3
04.05.2022-10-19-10,13,867,96.3
04.05.2022-10-19-10,14,660,73.3
04.05.2022-10-19-10,15,1239,137.7
04.05.2022-10-19-10,16,697,77.4
04.05.2022-10-19-10,17,1098,122.0
04.05.2022-10-19-10,18,1430,158.9
04.05.2022-10-19-10,19,1998,222.0
04.05.2022-10-19-10,20,1400,155.6
04.05.2022-10-19-10,21,1440,160.0
04.05.2022-10-19-10,22,8740,971.1
04.05.2022-10-29-21,0,1495,166.1
04.05.2022-10-29-21,1,4205,467.2
04.05.2022-10-29-21,2,2600,288.9
04.05.2022-10-29-21,3,4128,458.7
04.05.2022-10-29-21,4,884,98.2
04.05.2022-10-29-21,5,476,52.9
04.05.2022-10-29-21,7,512,56.9
04.05.2022-10-29-21,8,408,45.3
04.05.2022-10-29-21,9,396,44.0
04.05.2022-10-29-21,10,390,43.3
04.05.2022-10-29-21,11,510,56.7
04.05.2022-10-29-21,12,512,56.9
04.05.2022-11-11-05,0,782,86.9
04.05.2022-11-11-05,1,920,102.2
04.05.2022-11-11-05,2,1155,128.3
04.05.2022-11-11-05,3,675,75.0
04.05.2022-11-11-05,4,615,68.3
04.05.2022-11-11-05,5,476,52.9
04.05.2022-11-11-05,6,748,83.1
04.05.2022-11-11-05,10,882,98.0
04.05.2022-11-13-12,0,2822,313.6
04.05.2022-11-13-12,1,860,95.6
04.05.2022-11-21-06,0,4880,542.2
04.05.2022-11-21-06,1,3115,346.1
04.05.2022-11-21-06,2,1820,202.2
04.05.2022-11-22-03,0,1450,161.1
04.05.2022-11-22-03,1,630,70.0
04.05.2022-11-22-03,2,1464,162.7
04.05.2022-11-22-03,3,2024,224.9
04.05.2022-11-26-16,0,2924,324.9
04.05.2022-11-26-16,1,3127,347.4
04.05.2022-11-26-16,2,1008,112.0
04.05.2022-11-26-16,3,10950,1216.7
04.05.2022-11-26-16,4,1944,216.0
04.05.2022-11-26-16,5,1332,148.0
04.05.2022-11-28-37,0,3795,421.7
04.05.2022-11-28-37,1,2553,283.7
04.05.2022-11-28-37,2,2624,291.6
04.05.2022-11-28-37,3,609,67.7
04.05.2022-11-28-37,4,7469,829.9
04.05.2022-13-43-33,0,4148,460.9
04.05.2022-13-43-33,1,688,76.4
04.05.2022-13-46-07,0,672,74.7
04.05.2022-13-46-07,1,1638,182.0
04.05.2022-13-46-07,2,1323,147.0
04.05.2022-13-46-07,3,1590,176.7
04.05.2022-13-47-26,0,2408,267.6
04.05.2022-13-47-26,1,1696,188.4
04.05.2022-13-47-26,2,1924,213.8
04.05.2022-13-53-45,0,3750,416.7
04.05.2022-13-53-45,1,780,86.7
04.05.2022-13-53-45,2,891,99.0
04.05.2022-13-53-45,3,800,88.9
04.05.2022-13-53-45,4,594,66.0
04.05.2022-13-53-45,5,598,66.4
04.05.2022-13-53-45,6,625,69.4
04.05.2022-13-53-45,7,1050,116.7
04.05.2022-13-53-45,8,960,106.7
04.05.2022-13-53-45,9,702,78.0
04.05.2022-13-53-45,10,420,46.7
04.05.2022-13-53-45,11,500,55.6
04.05.2022-13-53-45,12,754,83.8
04.05.2022-13-53-45,13,546,60.7
04.05.2022-13-53-45,14,1692,188.0
04.05.2022-13-53-45,15,1472,163.6
04.05.2022-13-59-37,0,2130,236.7
04.05.2022-13-59-37,1,16952,1883.6
04.05.2022-13-59-37,3,23680,2631.1
04.05.2022-13-59-37,4,828,92.0
04.05.2022-14-00-09,0,27608,3067.6
04.05.2022-14-00-09,1,1029,114.3
04.05.2022-14-07-59,0,2378,264.2
04.05.2022-14-07-59,1,558,62.0
04.05.2022-14-07-59,2,21021,2335.7
04.05.2022-14-07-59,3,6656,739.6
04.05.2022-14-08-57,0,13520,1502.2
04.05.2022-14-08-57,1,12950,1438.9
04.05.2022-14-09-15,0,4611,512.3
04.05.2022-14-09-15,1,13320,1480.0
04.05.2022-14-09-37,0,10146,1127.3
04.05.2022-14-09-37,1,14288,1587.6
04.05.2022-14-10-01,0,16235,1803.9
04.05.2022-14-10-01,1,15642,1738.0
04.05.2022-14-12-40,0,4158,462.0
04.05.2022-14-12-40,1,1078,119.8
04.05.2022-14-12-40,2,1550,172.2
04.05.2022-14-12-40,3,1653,183.7
04.05.2022-14-12-40,4,875,97.2
04.05.2022-14-12-40,5,2337,259.7
04.05.2022-14-35-20,0,28458,3162.0
04.05.2022-14-35-20,1,2889,321.0
04.05.2022-14-35-20,2,468,52.0
04.05.2022-14-36-55,0,2765,307.2
04.05.2022-14-37-57,0,7808,867.6
04.05.2022-14-38-51,0,1653,183.7
04.05.2022-14-38-51,1,407,45.2
04.05.2022-14-38-51,2,714,79.3
04.05.2022-14-41-45,0,5041,560.1
