epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3125,2.01545,2.0045,1.0811,0.72137,0.14917,0.11955,0.06193,2.07575,4.29074,1.07045,0.000166667,0.000166667,0.0835
2,20.4902,1.81347,1.3486,1.00769,0.60401,0.49487,0.48947,0.22088,1.79895,1.41297,1.00981,0.000335281,0.000335281,0.0668035
3,30.3526,1.75915,1.2313,0.99601,0.71771,0.4854,0.53275,0.26936,1.69433,1.25246,1.0215,0.000503749,0.000503749,0.0501069
4,40.5531,1.7078,1.19054,0.98157,0.63547,0.52802,0.54455,0.24937,1.80207,1.51034,0.99572,0.000671962,0.000671962,0.0334101
5,50.5803,1.74478,1.18608,0.98799,0.60323,0.49679,0.49932,0.24644,1.71054,1.32313,1.0253,0.000839809,0.000839809,0.0167128
6,60.5529,1.70858,1.16289,0.97486,0.69165,0.5438,0.59449,0.29688,1.69906,1.12305,0.9793,0.00099531,0.00099531,0.00119372
7,70.311,1.71227,1.13435,0.98047,0.70788,0.56803,0.58667,0.29213,1.66837,1.13223,0.98062,0.000996097,0.000996097,0.000996097
8,80.0469,1.67075,1.11932,0.9768,0.73644,0.58485,0.62216,0.31215,1.64825,1.37124,0.96526,0.00099469,0.00099469,0.00099469
9,90.0175,1.66248,1.09579,0.96087,0.69287,0.5659,0.61843,0.32046,1.61037,1.10137,0.94313,0.000993068,0.000993068,0.000993068
10,99.8223,1.64493,1.06666,0.96815,0.72029,0.56354,0.60038,0.30722,1.59747,1.11645,0.95856,0.000991232,0.000991232,0.000991232
11,110.129,1.682,1.07985,0.96892,0.71503,0.58564,0.62607,0.31391,1.59402,1.11764,0.94001,0.000989183,0.000989183,0.000989183
12,119.75,1.60946,1.02603,0.94573,0.7411,0.57612,0.61627,0.31513,1.62357,1.06377,0.95864,0.000986922,0.000986922,0.000986922
13,129.429,1.64377,1.04661,0.95677,0.76657,0.57799,0.63277,0.33242,1.57834,1.05782,0.94926,0.000984449,0.000984449,0.000984449
14,139.171,1.59145,1.02547,0.93264,0.74824,0.59346,0.64594,0.33827,1.56748,1.04831,0.9367,0.000981765,0.000981765,0.000981765
15,148.68,1.60172,1.00293,0.94568,0.71543,0.57774,0.62835,0.32569,1.64404,1.05185,0.94214,0.000978873,0.000978873,0.000978873
16,158.414,1.61392,0.99863,0.95144,0.71878,0.61326,0.64393,0.33449,1.56745,1.02593,0.9353,0.000975773,0.000975773,0.000975773
17,168.031,1.58403,0.97791,0.9297,0.78079,0.58194,0.65716,0.34653,1.54641,1.04228,0.93431,0.000972466,0.000972466,0.000972466
18,177.827,1.58146,0.97842,0.94069,0.76383,0.60063,0.65876,0.35156,1.55204,0.98357,0.94377,0.000968955,0.000968955,0.000968955
19,187.6,1.58029,0.96135,0.93536,0.74546,0.60329,0.64391,0.3391,1.59368,1.03124,0.95091,0.000965239,0.000965239,0.000965239
20,197.216,1.60362,0.98154,0.93888,0.73253,0.59877,0.64761,0.34756,1.54435,1.00855,0.94919,0.000961322,0.000961322,0.000961322
21,206.95,1.54724,0.94634,0.92489,0.71047,0.6159,0.66382,0.34072,1.62581,1.04577,0.95479,0.000957205,0.000957205,0.000957205
22,216.649,1.60086,0.97712,0.93977,0.76875,0.57143,0.64381,0.34029,1.5613,1.01385,0.93472,0.000952889,0.000952889,0.000952889
23,226.235,1.54204,0.94898,0.93229,0.72879,0.63415,0.66666,0.3532,1.55776,0.98002,0.93417,0.000948377,0.000948377,0.000948377
24,235.828,1.53201,0.92672,0.92191,0.7805,0.62022,0.67726,0.36125,1.52284,0.95993,0.93256,0.000943671,0.000943671,0.000943671
25,245.489,1.53913,0.9321,0.92251,0.77259,0.61404,0.65649,0.33645,1.59189,1.03124,0.93791,0.000938772,0.000938772,0.000938772
26,255.353,1.52424,0.92985,0.91545,0.75836,0.62983,0.68537,0.36306,1.52495,0.95222,0.94084,0.000933683,0.000933683,0.000933683
27,264.755,1.51773,0.91377,0.9231,0.73079,0.61878,0.6734,0.34809,1.5372,0.96247,0.93477,0.000928405,0.000928405,0.000928405
28,274.303,1.50721,0.89491,0.92101,0.75761,0.62413,0.67829,0.36244,1.50837,0.96122,0.92572,0.000922942,0.000922942,0.000922942
29,284.114,1.52068,0.90253,0.91222,0.77185,0.62214,0.6767,0.35795,1.53128,0.94881,0.92676,0.000917296,0.000917296,0.000917296
30,293.905,1.50228,0.89837,0.92225,0.75307,0.63615,0.68218,0.36077,1.53552,0.96896,0.9324,0.000911469,0.000911469,0.000911469
31,303.448,1.49886,0.90147,0.92044,0.72539,0.58168,0.62472,0.33315,1.56079,1.0214,0.9528,0.000905463,0.000905463,0.000905463
32,313.294,1.50415,0.89011,0.9091,0.77462,0.62668,0.68621,0.36,1.522,0.95191,0.93167,0.000899282,0.000899282,0.000899282
33,322.99,1.4936,0.89095,0.91691,0.81291,0.59747,0.67178,0.36223,1.51132,0.93221,0.93446,0.000892928,0.000892928,0.000892928
34,332.794,1.47775,0.88284,0.91333,0.75039,0.63352,0.66966,0.36228,1.51888,0.98826,0.93377,0.000886404,0.000886404,0.000886404
35,342.315,1.48748,0.88362,0.90904,0.78744,0.57459,0.65599,0.33581,1.61252,1.00653,0.9386,0.000879713,0.000879713,0.000879713
36,352.247,1.50776,0.87895,0.90644,0.80124,0.60773,0.6749,0.3677,1.49247,0.93136,0.91704,0.000872857,0.000872857,0.000872857
37,362.128,1.49418,0.86704,0.91083,0.74985,0.61278,0.67528,0.36295,1.52465,0.95625,0.93142,0.000865839,0.000865839,0.000865839
38,371.824,1.45568,0.84606,0.90333,0.74313,0.65532,0.69413,0.37354,1.51395,0.93036,0.92491,0.000858664,0.000858664,0.000858664
39,381.638,1.43046,0.84701,0.90855,0.78231,0.63141,0.69838,0.37793,1.50257,0.94017,0.93256,0.000851333,0.000851333,0.000851333
40,391.228,1.4636,0.86373,0.89827,0.82533,0.60931,0.68617,0.37502,1.51127,0.93608,0.92532,0.000843851,0.000843851,0.000843851
41,401.145,1.4916,0.87104,0.91186,0.79215,0.61405,0.69045,0.37451,1.50332,0.93364,0.92693,0.00083622,0.00083622,0.00083622
42,410.984,1.44555,0.84431,0.90055,0.76493,0.62115,0.67054,0.37113,1.47526,0.91427,0.91342,0.000828443,0.000828443,0.000828443
43,420.543,1.44164,0.84926,0.90445,0.79268,0.63378,0.68975,0.3717,1.4867,0.90882,0.92206,0.000820525,0.000820525,0.000820525
44,430.315,1.4617,0.85104,0.90659,0.79667,0.64632,0.7068,0.38464,1.465,0.89791,0.91035,0.000812468,0.000812468,0.000812468
45,440.232,1.41757,0.81956,0.8958,0.80843,0.64404,0.70605,0.38222,1.50768,0.89649,0.9113,0.000804277,0.000804277,0.000804277
46,450.246,1.47881,0.86051,0.90229,0.80169,0.63813,0.71166,0.37845,1.50082,0.91486,0.91531,0.000795954,0.000795954,0.000795954
47,460.291,1.42738,0.83369,0.90391,0.76404,0.61846,0.67414,0.3706,1.47418,0.95886,0.92395,0.000787503,0.000787503,0.000787503
48,469.778,1.44765,0.84789,0.90382,0.82026,0.61231,0.69695,0.38102,1.49431,0.90946,0.92381,0.000778929,0.000778929,0.000778929
49,479.499,1.44486,0.8311,0.89869,0.79834,0.66242,0.71357,0.39093,1.46198,0.87929,0.90576,0.000770234,0.000770234,0.000770234
50,489.348,1.43137,0.82566,0.89746,0.81586,0.64009,0.70878,0.38771,1.47933,0.88832,0.91875,0.000761423,0.000761423,0.000761423
51,499.098,1.42766,0.82264,0.89967,0.804,0.64103,0.70392,0.38521,1.47317,0.87686,0.91908,0.0007525,0.0007525,0.0007525
52,508.541,1.42051,0.80926,0.89236,0.79132,0.65193,0.71198,0.38778,1.47905,0.90007,0.91437,0.000743468,0.000743468,0.000743468
53,518.407,1.43282,0.81647,0.89077,0.77908,0.66522,0.71895,0.38805,1.48865,0.92062,0.91836,0.000734332,0.000734332,0.000734332
54,528.264,1.3984,0.79589,0.89086,0.79803,0.658,0.71932,0.39113,1.46198,0.87707,0.91348,0.000725094,0.000725094,0.000725094
55,538.067,1.40929,0.80666,0.89143,0.77485,0.65983,0.70775,0.38756,1.46346,0.88774,0.91065,0.000715761,0.000715761,0.000715761
56,547.781,1.40038,0.80039,0.89043,0.8174,0.65509,0.72701,0.39657,1.45622,0.8826,0.90603,0.000706335,0.000706335,0.000706335
57,557.931,1.40331,0.79839,0.88061,0.81602,0.66062,0.72598,0.39959,1.45895,0.85096,0.90824,0.00069682,0.00069682,0.00069682
58,567.904,1.36465,0.76908,0.88185,0.81642,0.65904,0.72791,0.3956,1.47073,0.85108,0.91504,0.000687222,0.000687222,0.000687222
59,577.747,1.40859,0.80038,0.88676,0.82291,0.66693,0.73439,0.4007,1.45505,0.86561,0.91488,0.000677543,0.000677543,0.000677543
60,587.723,1.39613,0.77968,0.88315,0.78564,0.63536,0.69311,0.38108,1.45806,0.8982,0.91106,0.000667789,0.000667789,0.000667789
61,597.534,1.35697,0.75837,0.87806,0.82125,0.66723,0.73207,0.40208,1.44251,0.86953,0.90284,0.000657963,0.000657963,0.000657963
